CV,moyenne,ecart_type,min,max,D1,D9,C05,C95,ecart_D1_D9,ecart_C95_C05,ecart_minmax
4506,126.327221153502,8.36061287655823,103.540000915527,152.970001220703,114.800003051758,136.75,112.160003662109,140.385501861572,21.949996948242,28.2254981994633,49.430000305176
4507,171.33905916267,25.6974714345053,118.449996948242,282.100006103516,140.729995727539,208.899993896484,133.729995727539,220.699996948242,68.169998168945,86.970001220703,163.650009155274
4508,129.277240919144,24.4488211767444,83.5999984741211,202.800003051758,100.400001525879,168.389999389648,97.4000015258789,178.600006103516,67.989997863769,81.2000045776371,119.200004577637
4509,116.087733855723,14.8856139911453,67.3000030517578,170.179992675781,94.9000015258789,135.100006103516,90.6999969482422,139.191501617431,40.2000045776371,48.4915046691891,102.879989624023
4510,119.876673747117,8.50879887963378,79.9100036621094,144.25,106.599998474121,127.699996948242,102.099998474121,129.300003051758,21.099998474121,27.200004577637,64.3399963378906
4511,94.8544756698371,5.58009668665847,82.8000030517578,115.800003051758,88.5999984741211,102.699996948242,87.0999984741211,105.599998474121,14.0999984741209,18.4999999999999,33.0000000000002
4512,99.6177043027226,5.67732436991558,84.2699966430664,122.629997253418,91.4199981689453,105.300003051758,90.1754993438721,105.900001525879,13.8800048828127,15.7245021820069,38.3600006103516
4515,120.656312401332,4.99108400152589,106.160003662109,136.320007324219,114.5,126.860000610352,112.199996948242,128.419998168945,12.360000610352,16.220001220703,30.16000366211
4517,127.307449251304,6.05342090056711,90.1900024414063,142.800003051758,119.400001525879,134.160003662109,116.199996948242,135.699996948242,14.76000213623,19.5,52.6100006103517
4518,108.919903450335,7.54776552500984,90.5500030517578,133.550003051758,98.9100036621094,117.190002441406,97.4000015258789,121.330001831055,18.2799987792966,23.9300003051761,43.0000000000002
4519,111.127976806142,8.3337892568981,85.5800018310547,134.199996948242,102.900001525879,121.699996948242,92.8225002288818,124,18.799995422363,31.1774997711182,48.6199951171873
4520,115.224577574378,16.8374079467637,89.6100006103516,147.600006103516,96.6600036621094,139.669998168945,95.2699966430664,143.460006713867,43.0099945068356,48.1900100708006,57.9900054931644
4521,141.685931029407,19.5527101550631,103.51000213623,206.729995727539,114.062998199463,164.529998779297,110.870002746582,173.960006713867,50.467000579834,63.090003967285,103.219993591309
4599,105.643686984812,9.059241284035,88.3000030517578,125.900001525879,93.4400024414063,116.547002410889,92.7009971618653,119.400001525879,23.1069999694825,26.6990043640138,37.5999984741212
4601,175.1696906748,48.9030698249931,104.370002746582,302.399993896484,112.974002075196,245.036004638672,109.707998657226,260.899993896484,132.062002563476,151.191995239258,198.029991149902
